iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita
ISR,Asia,Israel,2020/2/20,,,,,,,,,,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/2/21,1,1,,,,,0.108,0.108,,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/2/22,1,0,,,,,0.108,0,,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/2/23,1,0,,,,,0.108,0,,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/2/24,1,0,,,,,0.108,0,,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/2/25,1,0,,,,,0.108,0,,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/2/26,2,1,0.286,,,,0.215,0.108,0.031,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/2/27,3,1,0.429,,,,0.323,0.108,0.046,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/2/28,6,3,0.714,,,,0.646,0.323,0.077,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/2/29,6,0,0.714,,,,0.646,0,0.077,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/3/1,7,1,0.857,,,,0.753,0.108,0.092,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/3/2,12,5,1.571,,,,1.292,0.538,0.169,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/3/3,15,3,2,,,,1.614,0.323,0.215,,,,,,,19.44,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/3/4,15,0,1.857,,,,1.614,0,0.2,,,,,,,33.33,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/3/5,21,6,2.571,,,,2.26,0.646,0.277,,,,,,,33.33,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/3/6,37,16,4.429,,,,3.982,1.722,0.477,,,,,,,33.33,9291000,402.606,30.6,11.733,7.359,33132.32
ISR,Asia,Israel,2020/3/7,47,10,5.857,,,,5.059,1.076,0.63,,,,,,,33.33,9291000,402.606,30.6,11.733,7.359,33132.32
